À,1286
Á,1752
Â,549
Ã,1046
Ä,798
Å,108
Æ,423
Ç,664
È,366
É,4
Ê,2410
Ë,732
Ì,1348
Í,495
Î,834
Ï,1858
Ð,607
Ñ,1901
Ò,1049
Ó,280
Ô,200
Õ,296
Ö,240
×,727
Ø,289
Ù,160
Ý,234
Þ,146
ß,222
A,3452
B,1075
C,2699
D,1149
E,1125
F,240
G,746
H,1174
I,393
J,91
K,251
L,1151
M,1884
N,915
O,916
P,2976
Q,45
R,530
S,1973
T,1542
U,162
V,201
W,100
X,188
Y,53
Z,231
